ts_code,trade_date
000430.SZ,2021-10-26
000430.SZ,2021-10-27
000430.SZ,2021-10-28
000430.SZ,2021-10-29
000430.SZ,2021-11-01
000430.SZ,2021-11-02
000430.SZ,2021-11-03
000430.SZ,2021-11-04
000430.SZ,2021-11-05
000430.SZ,2021-11-08
000430.SZ,2021-11-09
000430.SZ,2021-11-10
000430.SZ,2021-11-11
000430.SZ,2021-11-12
000430.SZ,2021-11-15
000430.SZ,2021-11-16
000430.SZ,2021-11-17
000430.SZ,2021-11-18
000430.SZ,2021-11-19
000430.SZ,2021-11-22
000430.SZ,2021-11-23
000430.SZ,2021-11-24
000430.SZ,2021-11-25
000430.SZ,2021-11-26
000430.SZ,2021-11-29
000430.SZ,2021-11-30
000430.SZ,2021-12-01
000430.SZ,2021-12-02
000430.SZ,2021-12-03
000430.SZ,2021-12-06
000430.SZ,2021-12-07
000430.SZ,2021-12-08
000430.SZ,2021-12-09
000430.SZ,2021-12-10
000430.SZ,2021-12-13
000430.SZ,2021-12-14
000430.SZ,2021-12-15
000430.SZ,2021-12-16
000430.SZ,2021-12-17
000430.SZ,2021-12-20
000430.SZ,2021-12-21
000430.SZ,2021-12-22
000430.SZ,2021-12-23
000430.SZ,2021-12-24
000430.SZ,2021-12-27
000430.SZ,2021-12-28
000430.SZ,2021-12-29
000430.SZ,2021-12-30
000430.SZ,2021-12-31
000430.SZ,2022-01-04
000430.SZ,2022-01-05
000430.SZ,2022-01-06
000430.SZ,2022-01-07
000430.SZ,2022-01-10
000430.SZ,2022-01-11
000430.SZ,2022-01-12
000430.SZ,2022-01-13
000430.SZ,2022-01-14
000430.SZ,2022-01-17
000430.SZ,2022-01-18
000430.SZ,2022-01-19
000430.SZ,2022-01-20
000430.SZ,2022-01-21
000430.SZ,2022-01-24
000430.SZ,2022-01-25
000430.SZ,2022-01-26
000430.SZ,2022-01-27
000430.SZ,2022-01-28
000430.SZ,2022-02-07
000430.SZ,2022-02-08
000430.SZ,2022-02-09
000430.SZ,2022-02-10
000430.SZ,2022-02-11
000430.SZ,2022-02-14
000430.SZ,2022-02-15
000430.SZ,2022-02-16
000430.SZ,2022-02-17
000430.SZ,2022-02-18
000430.SZ,2022-02-21
000430.SZ,2022-02-22
000430.SZ,2022-02-23
000430.SZ,2022-02-24
000430.SZ,2022-02-25
000430.SZ,2022-02-28
000430.SZ,2022-03-01
000430.SZ,2022-03-02
000430.SZ,2022-03-03
000430.SZ,2022-03-04
000430.SZ,2022-03-07
000430.SZ,2022-03-08
000430.SZ,2022-03-09
000430.SZ,2022-03-10
000430.SZ,2022-03-11
000430.SZ,2022-03-14
000430.SZ,2022-03-15
000430.SZ,2022-03-16
000430.SZ,2022-03-17
000430.SZ,2022-03-18
000430.SZ,2022-03-21
000430.SZ,2022-03-22
000430.SZ,2022-03-23
000430.SZ,2022-03-24
000430.SZ,2022-03-25
000430.SZ,2022-03-28
000430.SZ,2022-03-29
000430.SZ,2022-03-30
000430.SZ,2022-03-31
000430.SZ,2022-04-01
000430.SZ,2022-04-06
000430.SZ,2022-04-07
000430.SZ,2022-04-08
000430.SZ,2022-04-11
000430.SZ,2022-04-12
000430.SZ,2022-04-13
000430.SZ,2022-04-14
000430.SZ,2022-04-15
000430.SZ,2022-04-18
000430.SZ,2022-04-19
000430.SZ,2022-04-20
000430.SZ,2022-04-21
000430.SZ,2022-04-22
000430.SZ,2022-04-25
000430.SZ,2022-04-26
000430.SZ,2022-04-27
000430.SZ,2022-04-28
000430.SZ,2022-04-29
000430.SZ,2022-05-05
000430.SZ,2022-05-06
000430.SZ,2022-05-09
000430.SZ,2022-05-10
000430.SZ,2022-05-11
000430.SZ,2022-05-12
000430.SZ,2022-05-13
000430.SZ,2022-05-16
000430.SZ,2022-05-17
000430.SZ,2022-05-18
000430.SZ,2022-05-19
000430.SZ,2022-05-20
000430.SZ,2022-05-23
000430.SZ,2022-05-24
000430.SZ,2022-05-25
000430.SZ,2022-05-26
000430.SZ,2022-05-27
000430.SZ,2022-05-30
000430.SZ,2022-05-31
000430.SZ,2022-06-01
000430.SZ,2022-06-02
000430.SZ,2022-06-06
000430.SZ,2022-06-07
000430.SZ,2022-06-08
000430.SZ,2022-06-09
000430.SZ,2022-06-10
000430.SZ,2022-06-13
000430.SZ,2022-06-14
000430.SZ,2022-06-15
000430.SZ,2022-06-16
000430.SZ,2022-06-17
000430.SZ,2022-06-20
000430.SZ,2022-06-21
000430.SZ,2022-06-22
000430.SZ,2022-06-23
000430.SZ,2022-06-24
000430.SZ,2022-06-27
000430.SZ,2022-06-28
000430.SZ,2022-06-29
000430.SZ,2022-06-30
000430.SZ,2022-07-01
000430.SZ,2022-07-04
000430.SZ,2022-07-05
000430.SZ,2022-07-06
000430.SZ,2022-07-07
000430.SZ,2022-07-08
000430.SZ,2022-07-11
000430.SZ,2022-07-12
000430.SZ,2022-07-13
000430.SZ,2022-07-14
000430.SZ,2022-07-15
000430.SZ,2022-07-18
000430.SZ,2022-07-19
000430.SZ,2022-07-20
000430.SZ,2022-07-21
000430.SZ,2022-07-22
000430.SZ,2022-07-25
000430.SZ,2022-07-26
000430.SZ,2022-07-27
000430.SZ,2022-07-28
000430.SZ,2022-07-29
000430.SZ,2022-08-01
000430.SZ,2022-08-02
000430.SZ,2022-08-03
000430.SZ,2022-08-04
000430.SZ,2022-08-05
000430.SZ,2022-08-08
000430.SZ,2022-08-09
000430.SZ,2022-08-10
000430.SZ,2022-08-11
000430.SZ,2022-08-12
000430.SZ,2022-08-15
000430.SZ,2022-08-16
000430.SZ,2022-08-17
000430.SZ,2022-08-18
000430.SZ,2022-08-19
000430.SZ,2022-08-22
000430.SZ,2022-08-23
000430.SZ,2022-08-24
000430.SZ,2022-08-25
000430.SZ,2022-08-26
000430.SZ,2022-08-29
000430.SZ,2022-08-30
000430.SZ,2022-08-31
